time,"P(A)","P(B)","P(CLK)","P(ROUT)"
1.975000e-12,4.614338e-01,3.035686e-01,4.294696e-01,1.082318e-01
2.000000e-12,4.673219e-01,3.084680e-01,4.355488e-01,1.110873e-01
2.025000e-12,4.730543e-01,3.133191e-01,4.414793e-01,1.139603e-01
2.050000e-12,4.786342e-01,3.181218e-01,4.472628e-01,1.168501e-01
2.075000e-12,4.840661e-01,3.228766e-01,4.529017e-01,1.197558e-01
2.100000e-12,4.893552e-01,3.275840e-01,4.583990e-01,1.226765e-01
2.125000e-12,4.945076e-01,3.322450e-01,4.637583e-01,1.256115e-01
2.150000e-12,4.995306e-01,3.368605e-01,4.689839e-01,1.285601e-01
2.175000e-12,5.044318e-01,3.414319e-01,4.740804e-01,1.315216e-01
2.200000e-12,5.092199e-01,3.459607e-01,4.790530e-01,1.344955e-01
2.225000e-12,5.139042e-01,3.504486e-01,4.839074e-01,1.374812e-01
2.250000e-12,5.184946e-01,3.548974e-01,4.886498e-01,1.404782e-01
2.275000e-12,5.230014e-01,3.593092e-01,4.932866e-01,1.434861e-01
2.300000e-12,5.274355e-01,3.636863e-01,4.978248e-01,1.465045e-01
2.325000e-12,5.318080e-01,3.680310e-01,5.022714e-01,1.495331e-01
2.350000e-12,5.361303e-01,3.723460e-01,5.066341e-01,1.525716e-01
2.375000e-12,5.404138e-01,3.766338e-01,5.109204e-01,1.556198e-01
2.400000e-12,5.446702e-01,3.808972e-01,5.151382e-01,1.586777e-01
2.425000e-12,5.489109e-01,3.851392e-01,5.192957e-01,1.617450e-01
2.450000e-12,5.531473e-01,3.893628e-01,5.234009e-01,1.648217e-01
2.475000e-12,5.573905e-01,3.935709e-01,5.274621e-01,1.679078e-01
2.500000e-12,5.616514e-01,3.977667e-01,5.314874e-01,1.710034e-01
2.525000e-12,5.659404e-01,4.019535e-01,5.354851e-01,1.741086e-01
2.550000e-12,5.702675e-01,4.061343e-01,5.394634e-01,1.772235e-01
2.575000e-12,5.746421e-01,4.103124e-01,5.434304e-01,1.803482e-01
2.600000e-12,5.790731e-01,4.144912e-01,5.473939e-01,1.834830e-01
2.625000e-12,5.835689e-01,4.186737e-01,5.513617e-01,1.866281e-01
2.650000e-12,5.881370e-01,4.228633e-01,5.553414e-01,1.897838e-01
2.675000e-12,5.927845e-01,4.270631e-01,5.593404e-01,1.929505e-01
2.700000e-12,5.975175e-01,4.312762e-01,5.633658e-01,1.961283e-01
2.725000e-12,6.023417e-01,4.355059e-01,5.674243e-01,1.993178e-01
2.750000e-12,6.072619e-01,4.397550e-01,5.715225e-01,2.025192e-01
2.775000e-12,6.122824e-01,4.440265e-01,5.756666e-01,2.057330e-01
2.800000e-12,6.174066e-01,4.483232e-01,5.798624e-01,2.089596e-01
2.825000e-12,6.226376e-01,4.526480e-01,5.841154e-01,2.121994e-01
2.850000e-12,6.279775e-01,4.570034e-01,5.884307e-01,2.154527e-01
2.875000e-12,6.334282e-01,4.613920e-01,5.928132e-01,2.187202e-01
2.900000e-12,6.389908e-01,4.658162e-01,5.972670e-01,2.220021e-01
2.925000e-12,6.446661e-01,4.702781e-01,6.017963e-01,2.252990e-01
2.950000e-12,6.504545e-01,4.747800e-01,6.064045e-01,2.286112e-01
2.975000e-12,6.563559e-01,4.793237e-01,6.110949e-01,2.319392e-01
3.000000e-12,6.623699e-01,4.839111e-01,6.158702e-01,2.352834e-01
3.025000e-12,6.684959e-01,4.885437e-01,6.207328e-01,2.386441e-01
3.050000e-12,6.747331e-01,4.932232e-01,6.256848e-01,2.420219e-01
3.075000e-12,6.810805e-01,4.979506e-01,6.307279e-01,2.454171e-01
3.100000e-12,6.875370e-01,5.027273e-01,6.358633e-01,2.488299e-01
3.125000e-12,6.941013e-01,5.075541e-01,6.410919e-01,2.522608e-01
3.150000e-12,7.007723e-01,5.124318e-01,6.464145e-01,2.557101e-01
3.175000e-12,7.075485e-01,5.173610e-01,6.518313e-01,2.591781e-01
3.200000e-12,7.144286e-01,5.223420e-01,6.573423e-01,2.626650e-01
3.225000e-12,7.214115e-01,5.273752e-01,6.629472e-01,2.661710e-01
3.250000e-12,7.284958e-01,5.324606e-01,6.686456e-01,2.696965e-01
3.275000e-12,7.356803e-01,5.375981e-01,6.744365e-01,2.732416e-01
3.300000e-12,7.429637e-01,5.427874e-01,6.803191e-01,2.768063e-01
