time,"V(A)","I(ROUT)","P(A)","P(OUT)"
7.900000e-13,4.725673e-05,2.207272e-08,5.495236e-02,5.448922e-02
8.000000e-13,4.787606e-05,2.296753e-08,5.639762e-02,5.591527e-02
8.100000e-13,4.848805e-05,2.388919e-08,5.786160e-02,5.735943e-02
8.200000e-13,4.909242e-05,2.483816e-08,5.934405e-02,5.882145e-02
8.300000e-13,4.968892e-05,2.581490e-08,6.084474e-02,6.030108e-02
8.400000e-13,5.027728e-05,2.681986e-08,6.236344e-02,6.179808e-02
8.500000e-13,5.085728e-05,2.785350e-08,6.389988e-02,6.331218e-02
8.600000e-13,5.142866e-05,2.891626e-08,6.545381e-02,6.484311e-02
8.700000e-13,5.199120e-05,3.000858e-08,6.702497e-02,6.639060e-02
8.800000e-13,5.254469e-05,3.113090e-08,6.861308e-02,6.795436e-02
8.900000e-13,5.308891e-05,3.228366e-08,7.021787e-02,6.953410e-02
9.000000e-13,5.362365e-05,3.346727e-08,7.183905e-02,7.112952e-02
9.100000e-13,5.414873e-05,3.468216e-08,7.347632e-02,7.274033e-02
9.200000e-13,5.466397e-05,3.592873e-08,7.512941e-02,7.436621e-02
9.300000e-13,5.516918e-05,3.720739e-08,7.679799e-02,7.600686e-02
9.400000e-13,5.566419e-05,3.851854e-08,7.848177e-02,7.766195e-02
9.500000e-13,5.614886e-05,3.986255e-08,8.018043e-02,7.933117e-02
9.600000e-13,5.662303e-05,4.123982e-08,8.189366e-02,8.101418e-02
9.700000e-13,5.708655e-05,4.265071e-08,8.362113e-02,8.271065e-02
9.800000e-13,5.753930e-05,4.409557e-08,8.536252e-02,8.442025e-02
9.900000e-13,5.798115e-05,4.557476e-08,8.711750e-02,8.614264e-02
1.000000e-12,5.841200e-05,4.708860e-08,8.888574e-02,8.787747e-02
1.010000e-12,5.883172e-05,4.863744e-08,9.066691e-02,8.962440e-02
1.020000e-12,5.924022e-05,5.022158e-08,9.246065e-02,9.138308e-02
1.030000e-12,5.963742e-05,5.184133e-08,9.426663e-02,9.315317e-02
1.040000e-12,6.002324e-05,5.349696e-08,9.608451e-02,9.493429e-02
1.050000e-12,6.039759e-05,5.518877e-08,9.791394e-02,9.672610e-02
1.060000e-12,6.076043e-05,5.691701e-08,9.975457e-02,9.852824e-02
1.070000e-12,6.111169e-05,5.868194e-08,1.016060e-01,1.003404e-01
1.080000e-12,6.145132e-05,6.048377e-08,1.034680e-01,1.021621e-01
1.090000e-12,6.177929e-05,6.232275e-08,1.053401e-01,1.039931e-01
1.100000e-12,6.209557e-05,6.419906e-08,1.072220e-01,1.058329e-01
1.110000e-12,6.240013e-05,6.611290e-08,1.091134e-01,1.076813e-01
1.120000e-12,6.269296e-05,6.806444e-08,1.110138e-01,1.095378e-01
1.130000e-12,6.297405e-05,7.005383e-08,1.129229e-01,1.114022e-01
1.140000e-12,6.324341e-05,7.208121e-08,1.148404e-01,1.132739e-01
1.150000e-12,6.350104e-05,7.414671e-08,1.167659e-01,1.151528e-01
1.160000e-12,6.374695e-05,7.625043e-08,1.186990e-01,1.170383e-01
1.170000e-12,6.398118e-05,7.839245e-08,1.206395e-01,1.189302e-01
1.180000e-12,6.420375e-05,8.057284e-08,1.225869e-01,1.208280e-01
1.190000e-12,6.441471e-05,8.279164e-08,1.245408e-01,1.227315e-01
1.200000e-12,6.461409e-05,8.504889e-08,1.265010e-01,1.246403e-01
1.210000e-12,6.480194e-05,8.734459e-08,1.284671e-01,1.265540e-01
1.220000e-12,6.497834e-05,8.967874e-08,1.304388e-01,1.284722e-01
1.230000e-12,6.514334e-05,9.205130e-08,1.324156e-01,1.303947e-01
1.240000e-12,6.529702e-05,9.446222e-08,1.343972e-01,1.323210e-01
1.250000e-12,6.543945e-05,9.691142e-08,1.363834e-01,1.342508e-01
1.260000e-12,6.557072e-05,9.939883e-08,1.383737e-01,1.361839e-01
1.270000e-12,6.569093e-05,1.019243e-07,1.403678e-01,1.381197e-01
1.280000e-12,6.580017e-05,1.044877e-07,1.423654e-01,1.400580e-01
1.290000e-12,6.589854e-05,1.070890e-07,1.443662e-01,1.419986e-01
1.300000e-12,6.598615e-05,1.097278e-07,1.463698e-01,1.439409e-01
1.310000e-12,6.606312e-05,1.124040e-07,1.483759e-01,1.458848e-01
1.320000e-12,6.612956e-05,1.151174e-07,1.503842e-01,1.478298e-01
1.330000e-12,6.618561e-05,1.178677e-07,1.523943e-01,1.497757e-01
1.340000e-12,6.623140e-05,1.206547e-07,1.544060e-01,1.517222e-01
1.350000e-12,6.626705e-05,1.234781e-07,1.564189e-01,1.536690e-01
1.360000e-12,6.629271e-05,1.263375e-07,1.584328e-01,1.556157e-01
1.370000e-12,6.630852e-05,1.292327e-07,1.604473e-01,1.575620e-01
1.380000e-12,6.631464e-05,1.321632e-07,1.624621e-01,1.595077e-01
1.390000e-12,6.631122e-05,1.351287e-07,1.644770e-01,1.614525e-01
1.400000e-12,6.629841e-05,1.381287e-07,1.664916e-01,1.633960e-01
1.410000e-12,6.627638e-05,1.411629e-07,1.685057e-01,1.653381e-01
1.420000e-12,6.624529e-05,1.442307e-07,1.705190e-01,1.672784e-01
1.430000e-12,6.620532e-05,1.473318e-07,1.725312e-01,1.692166e-01
1.440000e-12,6.615663e-05,1.504655e-07,1.745421e-01,1.711526e-01
1.450000e-12,6.609940e-05,1.536315e-07,1.765513e-01,1.730860e-01
1.460000e-12,6.603381e-05,1.568290e-07,1.785587e-01,1.750167e-01
1.470000e-12,6.596005e-05,1.600577e-07,1.805640e-01,1.769443e-01
1.480000e-12,6.587830e-05,1.633168e-07,1.825669e-01,1.788686e-01
1.490000e-12,6.578874e-05,1.666057e-07,1.845672e-01,1.807894e-01
1.500000e-12,6.569157e-05,1.699239e-07,1.865647e-01,1.827064e-01
1.510000e-12,6.558698e-05,1.732706e-07,1.885591e-01,1.846196e-01
1.520000e-12,6.547516e-05,1.766452e-07,1.905502e-01,1.865285e-01
1.530000e-12,6.535632e-05,1.800470e-07,1.925379e-01,1.884331e-01
