time,"V(L4|XLOADINA)","V(L4|XLOADINB)","V(8000)"
9.800000e-13,1.075448e-05,1.115051e-05,1.696172e-05
9.900000e-13,1.072488e-05,1.112535e-05,1.723596e-05
1.000000e-12,1.069218e-05,1.109695e-05,1.750984e-05
1.010000e-12,1.065650e-05,1.106543e-05,1.778326e-05
1.020000e-12,1.061798e-05,1.103091e-05,1.805613e-05
1.030000e-12,1.057673e-05,1.099352e-05,1.832835e-05
1.040000e-12,1.053289e-05,1.095339e-05,1.859985e-05
1.050000e-12,1.048659e-05,1.091064e-05,1.887052e-05
1.060000e-12,1.043796e-05,1.086541e-05,1.914028e-05
1.070000e-12,1.038716e-05,1.081783e-05,1.940904e-05
1.080000e-12,1.033431e-05,1.076804e-05,1.967673e-05
1.090000e-12,1.027956e-05,1.071618e-05,1.994324e-05
1.100000e-12,1.022305e-05,1.066239e-05,2.020851e-05
1.110000e-12,1.016492e-05,1.060681e-05,2.047246e-05
1.120000e-12,1.010533e-05,1.054959e-05,2.073500e-05
1.130000e-12,1.004440e-05,1.049086e-05,2.099605e-05
1.140000e-12,9.982298e-06,1.043077e-05,2.125555e-05
1.150000e-12,9.919155e-06,1.036946e-05,2.151343e-05
1.160000e-12,9.855118e-06,1.030709e-05,2.176960e-05
1.170000e-12,9.790332e-06,1.024378e-05,2.202401e-05
1.180000e-12,9.724938e-06,1.017968e-05,2.227658e-05
1.190000e-12,9.659079e-06,1.011494e-05,2.252725e-05
1.200000e-12,9.592893e-06,1.004969e-05,2.277596e-05
1.210000e-12,9.526518e-06,9.984065e-06,2.302266e-05
1.220000e-12,9.460091e-06,9.918212e-06,2.326727e-05
1.230000e-12,9.393745e-06,9.852261e-06,2.350974e-05
1.240000e-12,9.327611e-06,9.786345e-06,2.375003e-05
1.250000e-12,9.261818e-06,9.720593e-06,2.398807e-05
1.260000e-12,9.196491e-06,9.655133e-06,2.422383e-05
1.270000e-12,9.131754e-06,9.590089e-06,2.445725e-05
1.280000e-12,9.067724e-06,9.525583e-06,2.468829e-05
1.290000e-12,9.004518e-06,9.461731e-06,2.491691e-05
1.300000e-12,8.942248e-06,9.398649e-06,2.514306e-05
1.310000e-12,8.881021e-06,9.336448e-06,2.536671e-05
1.320000e-12,8.820942e-06,9.275234e-06,2.558782e-05
1.330000e-12,8.762110e-06,9.215110e-06,2.580637e-05
1.340000e-12,8.704621e-06,9.156175e-06,2.602232e-05
1.350000e-12,8.648566e-06,9.098524e-06,2.623563e-05
1.360000e-12,8.594031e-06,9.042246e-06,2.644630e-05
1.370000e-12,8.541098e-06,8.987427e-06,2.665428e-05
1.380000e-12,8.489843e-06,8.934148e-06,2.685957e-05
1.390000e-12,8.440338e-06,8.882485e-06,2.706213e-05
1.400000e-12,8.392650e-06,8.832508e-06,2.726196e-05
1.410000e-12,8.346841e-06,8.784285e-06,2.745904e-05
1.420000e-12,8.302967e-06,8.737875e-06,2.765336e-05
1.430000e-12,8.261080e-06,8.693335e-06,2.784491e-05
1.440000e-12,8.221225e-06,8.650717e-06,2.803367e-05
1.450000e-12,8.183443e-06,8.610064e-06,2.821965e-05
1.460000e-12,8.147769e-06,8.571418e-06,2.840284e-05
1.470000e-12,8.114234e-06,8.534815e-06,2.858323e-05
1.480000e-12,8.082862e-06,8.500282e-06,2.876083e-05
1.490000e-12,8.053673e-06,8.467847e-06,2.893565e-05
1.500000e-12,8.026680e-06,8.437526e-06,2.910768e-05
1.510000e-12,8.001893e-06,8.409336e-06,2.927693e-05
1.520000e-12,7.979314e-06,8.383284e-06,2.944341e-05
1.530000e-12,7.958943e-06,8.359374e-06,2.960713e-05
1.540000e-12,7.940773e-06,8.337605e-06,2.976811e-05
1.550000e-12,7.924791e-06,8.317970e-06,2.992635e-05
1.560000e-12,7.910981e-06,8.300459e-06,3.008188e-05
1.570000e-12,7.899321e-06,8.285054e-06,3.023470e-05
1.580000e-12,7.889784e-06,8.271734e-06,3.038485e-05
1.590000e-12,7.882341e-06,8.260473e-06,3.053233e-05
1.600000e-12,7.876953e-06,8.251242e-06,3.067718e-05
1.610000e-12,7.873583e-06,8.244004e-06,3.081942e-05
1.620000e-12,7.872184e-06,8.238720e-06,3.095907e-05
1.630000e-12,7.872708e-06,8.235347e-06,3.109616e-05
1.640000e-12,7.875102e-06,8.233837e-06,3.123072e-05
