time,"I(L1|XDUT)"
0.000000e+00,0.000000e+00
1.000000e-12,1.845178e-06
2.000000e-12,3.924716e-06
3.000000e-12,6.663437e-06
4.000000e-12,9.635767e-06
5.000000e-12,1.213691e-05
6.000000e-12,1.360609e-05
7.000000e-12,1.423488e-05
8.000000e-12,1.422947e-05
9.000000e-12,1.415350e-05
1.000000e-11,1.442413e-05
1.100000e-11,1.415728e-05
1.200000e-11,1.410965e-05
1.300000e-11,1.423050e-05
1.400000e-11,1.401866e-05
1.500000e-11,1.405858e-05
1.600000e-11,1.404820e-05
1.700000e-11,1.396724e-05
1.800000e-11,1.397953e-05
1.900000e-11,1.395181e-05
2.000000e-11,1.392649e-05
2.100000e-11,1.391383e-05
2.200000e-11,1.390205e-05
2.300000e-11,1.388445e-05
2.400000e-11,1.387379e-05
2.500000e-11,1.386608e-05
2.600000e-11,1.385302e-05
2.700000e-11,1.384684e-05
2.800000e-11,1.383906e-05
2.900000e-11,1.383173e-05
3.000000e-11,1.382628e-05
3.100000e-11,1.382064e-05
3.200000e-11,1.381599e-05
3.300000e-11,1.381139e-05
3.400000e-11,1.380784e-05
3.500000e-11,1.380418e-05
3.600000e-11,1.380103e-05
3.700000e-11,1.379844e-05
3.800000e-11,1.379574e-05
3.900000e-11,1.379362e-05
4.000000e-11,1.379159e-05
4.100000e-11,1.378976e-05
4.200000e-11,1.378819e-05
4.300000e-11,1.378672e-05
4.400000e-11,1.378544e-05
4.500000e-11,1.378427e-05
4.600000e-11,1.378324e-05
4.700000e-11,1.378231e-05
4.800000e-11,1.378147e-05
4.900000e-11,1.378073e-05
5.000000e-11,1.378005e-05
5.100000e-11,1.377946e-05
5.200000e-11,1.377892e-05
5.300000e-11,1.377844e-05
5.400000e-11,1.377801e-05
5.500000e-11,1.377762e-05
5.600000e-11,1.377727e-05
5.700000e-11,1.377696e-05
5.800000e-11,1.377668e-05
5.900000e-11,1.377643e-05
6.000000e-11,1.377621e-05
6.100000e-11,1.377601e-05
6.200000e-11,1.377583e-05
6.300000e-11,1.377567e-05
6.400000e-11,1.377552e-05
6.500000e-11,1.377539e-05
6.600000e-11,1.377528e-05
6.700000e-11,1.377517e-05
6.800000e-11,1.377508e-05
6.900000e-11,1.377500e-05
7.000000e-11,1.377492e-05
7.100000e-11,1.377486e-05
7.200000e-11,1.377480e-05
7.300000e-11,1.377474e-05
7.400000e-11,1.377469e-05
7.500000e-11,1.377465e-05
7.600000e-11,1.377461e-05
7.700000e-11,1.377458e-05
7.800000e-11,1.377455e-05
7.900000e-11,1.377452e-05
8.000000e-11,1.377449e-05
8.100000e-11,1.377447e-05
8.200000e-11,1.377445e-05
8.300000e-11,1.377443e-05
8.400000e-11,1.377442e-05
8.500000e-11,1.377440e-05
8.600000e-11,1.377439e-05
