time,"I(L1|XDUT)"
0.000000e+00,0.000000e+00
1.500000e-14,1.731242e-08
3.000000e-14,3.471542e-08
4.500000e-14,5.222255e-08
6.000000e-14,6.984348e-08
7.500000e-14,8.758673e-08
9.000000e-14,1.054606e-07
1.050000e-13,1.234733e-07
1.200000e-13,1.416332e-07
1.350000e-13,1.599487e-07
1.500000e-13,1.784283e-07
1.650000e-13,1.970804e-07
1.800000e-13,2.159136e-07
1.950000e-13,2.349362e-07
2.100000e-13,2.541565e-07
2.250000e-13,2.735829e-07
2.400000e-13,2.932234e-07
2.550000e-13,3.130859e-07
2.700000e-13,3.331781e-07
2.850000e-13,3.535075e-07
3.000000e-13,3.740812e-07
3.150000e-13,3.949061e-07
3.300000e-13,4.159887e-07
3.450000e-13,4.373353e-07
3.600000e-13,4.589516e-07
3.750000e-13,4.808429e-07
3.900000e-13,5.030140e-07
4.050000e-13,5.254696e-07
4.200000e-13,5.482133e-07
4.350000e-13,5.712485e-07
4.500000e-13,5.945782e-07
4.650000e-13,6.182045e-07
4.800000e-13,6.421290e-07
4.950000e-13,6.663528e-07
5.100000e-13,6.908762e-07
5.250000e-13,7.156991e-07
5.400000e-13,7.408204e-07
5.550000e-13,7.662388e-07
5.700000e-13,7.919518e-07
5.850000e-13,8.179566e-07
6.000000e-13,8.442496e-07
6.150000e-13,8.708265e-07
6.300000e-13,8.976823e-07
6.450000e-13,9.248114e-07
6.600000e-13,9.522074e-07
6.750000e-13,9.798635e-07
6.900000e-13,1.007772e-06
7.050000e-13,1.035924e-06
7.200000e-13,1.064312e-06
7.350000e-13,1.092925e-06
7.500000e-13,1.121754e-06
7.650000e-13,1.150788e-06
7.800000e-13,1.180015e-06
7.950000e-13,1.209424e-06
8.100000e-13,1.239003e-06
8.250000e-13,1.268739e-06
8.400000e-13,1.298619e-06
8.550000e-13,1.328630e-06
8.700000e-13,1.358757e-06
8.850000e-13,1.388986e-06
9.000000e-13,1.419304e-06
9.150000e-13,1.449695e-06
9.300000e-13,1.480144e-06
9.450000e-13,1.510637e-06
9.600000e-13,1.541159e-06
9.750000e-13,1.571693e-06
9.900000e-13,1.602226e-06
1.005000e-12,1.632741e-06
1.020000e-12,1.663223e-06
1.035000e-12,1.693659e-06
1.050000e-12,1.724032e-06
1.065000e-12,1.754328e-06
1.080000e-12,1.784533e-06
1.095000e-12,1.814632e-06
1.110000e-12,1.844612e-06
1.125000e-12,1.874460e-06
1.140000e-12,1.904162e-06
1.155000e-12,1.933707e-06
1.170000e-12,1.963081e-06
1.185000e-12,1.992274e-06
1.200000e-12,2.021275e-06
1.215000e-12,2.050074e-06
1.230000e-12,2.078661e-06
1.245000e-12,2.107027e-06
1.260000e-12,2.135165e-06
1.275000e-12,2.163067e-06
1.290000e-12,2.190726e-06
1.305000e-12,2.218137e-06
1.320000e-12,2.245295e-06
1.335000e-12,2.272195e-06
1.350000e-12,2.298836e-06
1.365000e-12,2.325213e-06
1.380000e-12,2.351327e-06
1.395000e-12,2.377176e-06
1.410000e-12,2.402761e-06
1.425000e-12,2.428084e-06
1.440000e-12,2.453147e-06
1.455000e-12,2.477952e-06
1.470000e-12,2.502505e-06
1.485000e-12,2.526811e-06
1.500000e-12,2.550875e-06
1.515000e-12,2.574704e-06
1.530000e-12,2.598307e-06
1.545000e-12,2.621692e-06
1.560000e-12,2.644869e-06
1.575000e-12,2.667848e-06
1.590000e-12,2.690641e-06
1.605000e-12,2.713260e-06
1.620000e-12,2.735718e-06
1.635000e-12,2.758028e-06
1.650000e-12,2.780205e-06
1.665000e-12,2.802264e-06
1.680000e-12,2.824221e-06
1.695000e-12,2.846092e-06
1.710000e-12,2.867894e-06
1.725000e-12,2.889645e-06
1.740000e-12,2.911363e-06
1.755000e-12,2.933067e-06
1.770000e-12,2.954774e-06
1.785000e-12,2.976506e-06
1.800000e-12,2.998281e-06
1.815000e-12,3.020119e-06
1.830000e-12,3.042041e-06
1.845000e-12,3.064068e-06
1.860000e-12,3.086219e-06
1.875000e-12,3.108515e-06
1.890000e-12,3.130978e-06
1.905000e-12,3.153629e-06
1.920000e-12,3.176487e-06
1.935000e-12,3.199574e-06
1.950000e-12,3.222910e-06
1.965000e-12,3.246517e-06
1.980000e-12,3.270413e-06
1.995000e-12,3.294619e-06
2.010000e-12,3.319155e-06
2.025000e-12,3.344039e-06
2.040000e-12,3.369292e-06
2.055000e-12,3.394931e-06
2.070000e-12,3.420973e-06
2.085000e-12,3.447438e-06
2.100000e-12,3.474341e-06
2.115000e-12,3.501699e-06
2.130000e-12,3.529527e-06
2.145000e-12,3.557841e-06
2.160000e-12,3.586654e-06
2.175000e-12,3.615980e-06
2.190000e-12,3.645832e-06
2.205000e-12,3.676221e-06
2.220000e-12,3.707160e-06
2.235000e-12,3.738657e-06
2.250000e-12,3.770722e-06
2.265000e-12,3.803363e-06
2.280000e-12,3.836588e-06
2.295000e-12,3.870404e-06
2.310000e-12,3.904815e-06
2.325000e-12,3.939826e-06
2.340000e-12,3.975441e-06
2.355000e-12,4.011662e-06
2.370000e-12,4.048490e-06
2.385000e-12,4.085926e-06
2.400000e-12,4.123969e-06
2.415000e-12,4.162616e-06
2.430000e-12,4.201866e-06
2.445000e-12,4.241715e-06
2.460000e-12,4.282156e-06
2.475000e-12,4.323185e-06
2.490000e-12,4.364794e-06
2.505000e-12,4.406974e-06
2.520000e-12,4.449718e-06
2.535000e-12,4.493014e-06
2.550000e-12,4.536850e-06
2.565000e-12,4.581216e-06
2.580000e-12,4.626098e-06
2.595000e-12,4.671480e-06
2.610000e-12,4.717349e-06
2.625000e-12,4.763688e-06
2.640000e-12,4.810480e-06
2.655000e-12,4.857707e-06
2.670000e-12,4.905350e-06
2.685000e-12,4.953390e-06
2.700000e-12,5.001807e-06
2.715000e-12,5.050579e-06
2.730000e-12,5.099684e-06
2.745000e-12,5.149100e-06
2.760000e-12,5.198804e-06
2.775000e-12,5.248772e-06
2.790000e-12,5.298979e-06
2.805000e-12,5.349401e-06
2.820000e-12,5.400012e-06
2.835000e-12,5.450787e-06
2.850000e-12,5.501698e-06
2.865000e-12,5.552720e-06
2.880000e-12,5.603826e-06
2.895000e-12,5.654988e-06
2.910000e-12,5.706180e-06
2.925000e-12,5.757373e-06
2.940000e-12,5.808539e-06
2.955000e-12,5.859652e-06
2.970000e-12,5.910683e-06
2.985000e-12,5.961605e-06
3.000000e-12,6.012390e-06
3.015000e-12,6.063010e-06
3.030000e-12,6.113439e-06
3.045000e-12,6.163649e-06
3.060000e-12,6.213613e-06
3.075000e-12,6.263306e-06
3.090000e-12,6.312700e-06
3.105000e-12,6.361771e-06
3.120000e-12,6.410493e-06
3.135000e-12,6.458843e-06
3.150000e-12,6.506795e-06
3.165000e-12,6.554326e-06
3.180000e-12,6.601415e-06
3.195000e-12,6.648039e-06
3.210000e-12,6.694177e-06
3.225000e-12,6.739808e-06
3.240000e-12,6.784914e-06
3.255000e-12,6.829475e-06
3.270000e-12,6.873475e-06
3.285000e-12,6.916896e-06
3.300000e-12,6.959724e-06
3.315000e-12,7.001942e-06
3.330000e-12,7.043539e-06
3.345000e-12,7.084501e-06
3.360000e-12,7.124818e-06
3.375000e-12,7.164479e-06
3.390000e-12,7.203475e-06
3.405000e-12,7.241799e-06
3.420000e-12,7.279445e-06
3.435000e-12,7.316407e-06
3.450000e-12,7.352681e-06
3.465000e-12,7.388265e-06
3.480000e-12,7.423157e-06
3.495000e-12,7.457357e-06
3.510000e-12,7.490867e-06
3.525000e-12,7.523689e-06
3.540000e-12,7.555826e-06
3.555000e-12,7.587285e-06
3.570000e-12,7.618070e-06
3.585000e-12,7.648191e-06
3.600000e-12,7.677656e-06
3.615000e-12,7.706474e-06
3.630000e-12,7.734659e-06
3.645000e-12,7.762222e-06
3.660000e-12,7.789177e-06
3.675000e-12,7.815539e-06
3.690000e-12,7.841325e-06
3.705000e-12,7.866552e-06
3.720000e-12,7.891239e-06
3.735000e-12,7.915404e-06
3.750000e-12,7.939069e-06
3.765000e-12,7.962255e-06
3.780000e-12,7.984985e-06
3.795000e-12,8.007282e-06
3.810000e-12,8.029171e-06
3.825000e-12,8.050677e-06
3.840000e-12,8.071825e-06
3.855000e-12,8.092643e-06
3.870000e-12,8.113157e-06
3.885000e-12,8.133397e-06
3.900000e-12,8.153390e-06
3.915000e-12,8.173166e-06
3.930000e-12,8.192754e-06
3.945000e-12,8.212185e-06
3.960000e-12,8.231489e-06
3.975000e-12,8.250697e-06
3.990000e-12,8.269841e-06
4.005000e-12,8.288950e-06
4.020000e-12,8.308057e-06
4.035000e-12,8.327194e-06
4.050000e-12,8.346392e-06
4.065000e-12,8.365682e-06
4.080000e-12,8.385096e-06
4.095000e-12,8.404665e-06
4.110000e-12,8.424421e-06
4.125000e-12,8.444394e-06
4.140000e-12,8.464615e-06
4.155000e-12,8.485114e-06
4.170000e-12,8.505921e-06
4.185000e-12,8.527065e-06
4.200000e-12,8.548575e-06
4.215000e-12,8.570479e-06
4.230000e-12,8.592805e-06
4.245000e-12,8.615580e-06
4.260000e-12,8.638829e-06
4.275000e-12,8.662579e-06
4.290000e-12,8.686853e-06
4.305000e-12,8.711676e-06
4.320000e-12,8.737070e-06
4.335000e-12,8.763057e-06
4.350000e-12,8.789657e-06
4.365000e-12,8.816892e-06
4.380000e-12,8.844778e-06
4.395000e-12,8.873335e-06
4.410000e-12,8.902578e-06
4.425000e-12,8.932523e-06
4.440000e-12,8.963185e-06
4.455000e-12,8.994575e-06
4.470000e-12,9.026706e-06
4.485000e-12,9.059589e-06
4.500000e-12,9.093232e-06
